_symbol,_timestamp,_open,_high,_low,_close,_volume,_trade_count,_vwap
GOOG,2023-04-06 04:00:00+00:00,105.77,109.63,104.815,108.9,38225312.0,294414.0,107.868744
GOOG,2023-04-10 04:00:00+00:00,107.39,107.97,105.6,106.95,21462689.0,197781.0,106.726309
GOOG,2023-04-11 04:00:00+00:00,106.92,107.22,105.28,106.12,20667960.0,198355.0,106.211374
GOOG,2023-04-12 04:00:00+00:00,107.39,107.5874,104.97,105.22,24627839.0,219283.0,105.851909
GOOG,2023-04-13 04:00:00+00:00,106.47,108.265,106.44,108.19,24268699.0,194989.0,107.792639
GOOG,2023-04-14 04:00:00+00:00,107.69,109.58,107.59,109.46,20917319.0,195860.0,108.839638
GOOG,2023-04-17 04:00:00+00:00,105.43,106.71,105.32,106.42,31315472.0,302131.0,106.069162
GOOG,2023-04-18 04:00:00+00:00,107.0,107.05,104.78,105.12,19267495.0,183102.0,105.642241
GOOG,2023-04-19 04:00:00+00:00,104.215,105.725,103.8,105.02,18796487.0,158829.0,104.900181
GOOG,2023-04-20 04:00:00+00:00,104.65,106.8875,104.64,105.9,22515331.0,212385.0,105.812043
GOOG,2023-04-21 04:00:00+00:00,106.09,106.64,105.485,105.91,25213626.0,201219.0,105.948365
GOOG,2023-04-24 04:00:00+00:00,106.05,107.32,105.36,106.78,23416253.0,203068.0,106.610944
GOOG,2023-04-25 04:00:00+00:00,106.61,107.44,104.56,104.61,34076461.0,320042.0,105.921084
GOOG,2023-04-26 04:00:00+00:00,105.56,107.02,103.27,104.45,38820555.0,396584.0,105.022508
GOOG,2023-04-27 04:00:00+00:00,105.23,109.15,104.42,108.37,38235220.0,348390.0,107.937271
GOOG,2023-04-28 04:00:00+00:00,107.8,108.29,106.04,108.22,23944934.0,226769.0,107.551432
GOOG,2023-05-01 04:00:00+00:00,107.72,108.68,107.5,107.71,21318422.0,194985.0,107.968687
GOOG,2023-05-02 04:00:00+00:00,107.66,107.73,104.5,105.98,23026143.0,211078.0,106.030216
GOOG,2023-05-03 04:00:00+00:00,106.22,108.13,105.62,106.12,17388946.0,198129.0,106.585268
GOOG,2023-05-04 04:00:00+00:00,106.16,106.3,104.7,105.21,21453002.0,246920.0,105.472124
GOOG,2023-05-05 04:00:00+00:00,105.32,106.44,104.7386,106.215,23464036.0,216510.0,105.80518
GOOG,2023-05-08 04:00:00+00:00,105.795,108.42,105.79,108.24,17522239.0,195917.0,107.575707
GOOG,2023-05-09 04:00:00+00:00,108.78,110.595,107.725,107.94,26543888.0,290072.0,108.880541
GOOG,2023-05-10 04:00:00+00:00,108.55,113.51,108.48,112.28,50817494.0,553269.0,111.126157
GOOG,2023-05-11 04:00:00+00:00,115.86,118.44,114.9301,116.9,60865932.0,681163.0,117.211309
GOOG,2023-05-12 04:00:00+00:00,117.0,118.26,116.55,117.92,33919916.0,348845.0,117.485694
GOOG,2023-05-15 04:00:00+00:00,116.49,118.795,116.48,116.96,22505226.0,299115.0,117.379049
GOOG,2023-05-16 04:00:00+00:00,116.83,121.2,116.83,120.09,33970908.0,370878.0,119.775098
GOOG,2023-05-17 04:00:00+00:00,120.18,122.28,119.46,121.48,30463880.0,288048.0,120.976289
GOOG,2023-05-18 04:00:00+00:00,121.56,123.9,121.49,123.52,30424685.0,322018.0,123.012294
GOOG,2023-05-19 04:00:00+00:00,124.2,126.479,122.72,123.25,31395729.0,363993.0,123.872747
GOOG,2023-05-22 04:00:00+00:00,123.51,127.05,123.45,125.87,32823462.0,330980.0,125.883831
GOOG,2023-05-23 04:00:00+00:00,124.93,125.42,123.05,123.29,26984489.0,265240.0,124.041634
GOOG,2023-05-24 04:00:00+00:00,121.88,122.7499,120.75,121.64,25133300.0,263227.0,121.706272
GOOG,2023-05-25 04:00:00+00:00,125.21,125.98,122.9,124.35,36938236.0,357968.0,124.480168
GOOG,2023-05-26 04:00:00+00:00,124.065,126.0,123.29,125.43,27823208.0,244930.0,125.179353
GOOG,2023-05-30 04:00:00+00:00,126.29,126.38,122.89,124.64,29122391.0,329779.0,124.565191
GOOG,2023-05-31 04:00:00+00:00,123.7,124.9,123.1,123.37,41904778.0,279494.0,123.642652
GOOG,2023-06-01 04:00:00+00:00,123.5,125.04,123.3,124.37,27854924.0,247879.0,124.076135
GOOG,2023-06-02 04:00:00+00:00,124.49,126.745,124.35,125.23,25002095.0,263688.0,125.347773
GOOG,2023-06-05 04:00:00+00:00,124.61,127.99,124.38,126.63,22678226.0,256731.0,126.791903
GOOG,2023-06-06 04:00:00+00:00,126.6,128.88,125.97,127.91,19452425.0,220993.0,127.848038
GOOG,2023-06-07 04:00:00+00:00,127.575,129.55,122.63,122.94,34180308.0,298229.0,124.289332
GOOG,2023-06-08 04:00:00+00:00,122.585,123.73,122.01,122.67,24819569.0,255283.0,122.769127
GOOG,2023-06-09 04:00:00+00:00,122.56,124.285,122.42,122.87,20313503.0,209974.0,123.291397
GOOG,2023-06-12 04:00:00+00:00,123.395,124.75,122.35,124.35,22298580.0,208931.0,123.609695
GOOG,2023-06-13 04:00:00+00:00,125.65,125.86,123.845,124.43,19293716.0,207745.0,124.665149
GOOG,2023-06-14 04:00:00+00:00,123.8,124.79,122.16,124.38,24659030.0,256826.0,123.81954
GOOG,2023-06-15 04:00:00+00:00,123.88,126.16,123.14,125.79,24518234.0,224694.0,124.985152
GOOG,2023-06-16 04:00:00+00:00,126.7,126.7,123.79,124.06,56687861.0,236827.0,124.676304
GOOG,2023-06-20 04:00:00+00:00,123.535,125.175,122.83,123.85,22697272.0,208484.0,123.806232
GOOG,2023-06-21 04:00:00+00:00,123.235,123.41,120.86,121.26,22607323.0,212549.0,121.691848
GOOG,2023-06-22 04:00:00+00:00,120.66,123.935,119.6,123.87,20783843.0,218700.0,122.30284
GOOG,2023-06-23 04:00:00+00:00,122.04,123.44,121.86,123.02,29826551.0,214287.0,122.879827
GOOG,2023-06-26 04:00:00+00:00,121.4656,122.72,118.99,119.09,23199103.0,236811.0,120.213373
GOOG,2023-06-27 04:00:00+00:00,117.84,119.895,116.91,119.01,27240232.0,271578.0,118.701732
GOOG,2023-06-28 04:00:00+00:00,117.96,121.27,117.6,121.08,19756577.0,217182.0,120.294609
GOOG,2023-06-29 04:00:00+00:00,120.09,120.91,119.21,120.01,18517459.0,190232.0,119.992739
